titulo,empresa,local,faixa_salarial,link,descricao,requisitos,situacao,pagina,coletado_em
Desenvolvedor Back-End Python/.NET - PLENO,saphira.tech,São Paulo (Híbrido),Até R$15.000,https://programathor.com.br/jobs/33695-desenvolvedor-back-end-python-net-pleno,"(Pleno/Sênior) – Foco em Modernização de Sistemas ​Estamos em busca de um desenvolvedor experiente para integrar nosso time de tecnologia, com foco em projetos desafiadores de modernização e integração de sistemas críticos.
​Modelo de Trabalho e Localização: ​Formato Híbrido: Acreditamos no valor da colaboração presencial e na troca de conhecimento entre os times.
​Se você possui um perfil técnico sólido, mas acredita que o software é apenas uma ferramenta para resolver problemas reais de negócio, queremos conversar com você.
​O que buscamos:
​Agilidade: Habilidade e disposição para trabalhar em um ambiente de desenvolvimento acelerado, utilizando ferramentas de IA como Claude Code para otimizar entregas. ​Paixão por Pessoas e Negócios: ​Comunicador nato: Valorizamos quem sabe articular ideias, traduzir complexidade técnica e tem facilidade em se integrar com times multidisciplinares. ​Visão de Negócio: Você deve gostar de mergulhar nas regras do setor de seguros, entendendo o ""porquê"" por trás de cada funcionalidade. ​Cultura de Time: É essencial ter prazer em compartilhar conhecimento, realizar mentorias e contribuir para um ambiente de aprendizado contínuo.
​Por que se juntar a nós? ​Você terá a oportunidade de atuar diretamente na arquitetura de sistemas de alta criticidade, onde a clareza na comunicação e o entendimento profundo das regras de negócio são tão fundamentais quanto a qualidade do código que você entrega.",​Experiência técnica: Domínio avançado em desenvolvimento com Python. ​Stack: Conhecimento prático em RabbitMQ (mensageria/sistemas distribuídos) e MongoDB.,Vencida,1,2026-09-21T18:45:22-03:00
Desenvolvedor Back-End Senior (AI Engineer),LOLDESIGN Soluções Digitais LTDA,Remoto,Não especificado,https://programathor.com.br/jobs/33691-desenvolvedor-back-end-senior-ai-engineer,"-Desenvolver aplicações de IA Generativa e sistemas multiagentes ponta a ponta (backend, orquestração e integrações). -Projetar e implementar agentes capazes de executar tarefas e automatizar workflows de negócio. -Estruturar, evoluir e manter arquiteturas baseadas em LLMs, incluindo RAG, tool calling, memory e orquestração. Integrar modelos de linguagem aos sistemas internos por meio de APIs, promovendo automação de processos. -Construir pipelines de dados e bases vetoriais para garantir alta precisão e minimizar alucinações. -Definir e implementar métricas para avaliação da qualidade dos agentes (assertividade, groundedness, taxa de erro, entre outras). -Monitorar e otimizar desempenho, latência e custos de inferência (tokens e consumo de modelos). -Garantir observabilidade, rastreabilidade e confiabilidade das soluções em produção. -Investigar incidentes e propor melhorias contínuas na arquitetura e nas aplicações. -Trabalhar em conjunto com os times de Produto, Engenharia e Operações para desenvolver soluções com impacto direto no negócio. -Promover boas práticas de engenharia de software, revisão de código e compartilhamento de conhecimento.","-Experiência sólida em Engenharia de Software (mínimo de 5 anos). -Domínio de Python e desenvolvimento de APIs utilizando FastAPI, Flask ou frameworks similares. -Experiência prática no desenvolvimento e operação de aplicações baseadas em LLMs em ambiente de produção. -Experiência com frameworks de agentes, como LangGraph, LangChain, CrewAI ou soluções próprias de orquestração. -Conhecimento prático em: --RAG (chunking, retrieval e re-ranking); --Function/Tool Calling; --Integração com APIs. -Experiência no desenvolvimento de agentes capazes de executar ações e automatizar processos. -Experiência com bancos vetoriais em produção (Pinecone, Weaviate, Milvus, pgvector ou similares). -Experiência com avaliação da qualidade de respostas de LLMs e técnicas de mitigação de alucinação. -Experiência com monitoramento, observabilidade e operação de sistemas em produção. -Familiaridade com os desafios de ambientes produtivos, incluindo latência, custo e escalabilidade. -Experiência com versionamento de código utilizando Git. -Boa comunicação, pensamento analítico e orientação a resultados. -Capacidade de transformar problemas de negócio em soluções técnicas escaláveis.
Diferenciais
-Experiência com arquiteturas multiagentes e sistemas distribuídos. -Experiência com práticas de LLMOps (governança, segurança, observabilidade e rastreabilidade). -Experiência com sistemas de mensageria (Kafka, RabbitMQ ou similares). -Experiência com plataformas de cloud (AWS, GCP ou Azure). -Experiência com pipelines de CI/CD para aplicações de IA. -Conhecimento de modelos open source, como LLaMA, Mistral, Mixtral e similares. -Experiência com avaliação automatizada de prompts e agentes. -Experiência em ambientes de alto volume de processamento e sistemas críticos.",Vencida,1,2026-09-21T18:45:28-03:00
Engenheiro Full Stack Sênior (PHP/Node/Angular),Projeto22,São Paulo (Híbrido),Não especificado,https://programathor.com.br/jobs/33682-engenheiro-full-stack-senior-php-node-angular,"Projetar, desenvolver e entregar funcionalidades em serviços de frontend e backend para a plataforma DP360 CRM. Liderar o desenvolvimento de funcionalidades de ponta a ponta — desde o design técnico até a implantação em produção. Depurar (debug), solucionar problemas e resolver incidentes de produção, incluindo gargalos de desempenho e falhas de integração. Escrever código limpo (clean code), manutenível e manter as melhores práticas de engenharia em toda a base de código. Construir e manter APIs e serviços de backend usando PHP (CakePHP) e Node.js (Express/NestJS). Desenvolver funcionalidades de frontend usando Angular e TypeScript. Integrar APIs e serviços de terceiros, incluindo Twilio (SMS/voz), Nylas (sincronização de e- mail) e SendGrid. Colaborar com a equipe de IA em integrações com microsserviços de IA baseados em Python/FastAPI. Atuar em parceria com os Tech Leads para implementar designs técnicos e entregar marcos (milestones) do projeto. Trabalhar com gerentes de produto para traduzir requisitos em soluções técnicas bem dimensionadas. Participar de revisões de código (code reviews), discussões técnicas e planejamentos de sprint. Fornecer orientação e mentoria para engenheiros de nível pleno (mid-level) na equipe. Contribuir para fluxos de trabalho de CI/CD usando Bitbucket Pipelines e AWS CodeBuild. Monitorar e solucionar problemas em sistemas de produção usando New Relic e Datadog. Suportar uma arquitetura baseada em microsserviços e conteinerizada, implantada na AWS (ECS, ECR, CodeDeploy).","Inglês avançado para conversação. Experiência robusta em desenvolvimento de software full stack. Forte experiência em backend com PHP - preferência por experiência com CakePHP. Experiência prática com Node.js para serviços de backend. Proficiência em Angular e TypeScript para desenvolvimento frontend. Sólida experiência com MySQL, incluindo otimização de consultas e design de banco de dados relacional. Experiência na integração e manutenção de APIs de terceiros (SMS, e-mail, voz ou similares). Familiaridade com serviços de nuvem AWS (ECS, S3, CloudWatch ou similares). Experiência com Docker e implantações de aplicações conteinerizadas. Experiência com fluxos de trabalho de desenvolvimento baseados em Git. Fortes habilidades de resolução de problemas com foco na qualidade do código e confiabilidade do sistema. Confortável trabalhando em fusos horários distribuídos em um ambiente async-first (prioridade para comunicação assíncrona).",Vencida,2,2026-09-21T18:45:39-03:00
Desenvolvedor(a) Back-End Pleno(Python/DBT),Bomzai,"São Luís, Maranhão (Presencial)",Até R$10.000,https://programathor.com.br/jobs/33686-desenvolvedor-a-back-end-pleno-python-dbt,📍 Informações da vaga Local: São Luís/MA (Presencial) Regime de contratação: CLT Inglês fluente (obrigatório) Disponibilidade para viagens (França),"📍 O que esperamos de você : Experiência em Engenharia de Dados; Conhecimento em Python, SQL, Spark, Databricks e Snowflake; Experiência com plataformas Cloud (AWS, Azure ou Google Cloud Platform); Conhecimento em práticas DevOps (CI/CD, Terraform, Kafka e testes automatizados); Familiaridade com GitHub e GitLab",Vencida,2,2026-09-21T18:45:44-03:00
Engenheiro de Dados Pleno (ou Sênior),Grupo Global,Porto Alegre (Híbrido),Até R$8.000,https://programathor.com.br/jobs/33679-engenheiro-de-dados-pleno-ou-senior,"Você será a pessoa responsável por estruturar e sustentar a base de dados que alimenta toda a nossa operação de vendas de crédito consignado.
No dia a dia, você vai:
Modelar e manter um banco de dados com milhões de registros de leads, garantindo performance nas consultas; Cruzar e deduplicar bases de diferentes origens (tráfego pago, parceiros e outros canais), tratando dados como CPF em formatos distintos; Escrever e otimizar consultas SQL para identificar oportunidades conforme as regras dos bancos mudam; Integrar a base com a API oficial da Meta (WhatsApp Cloud API) para disparo de mensagens; Estruturar o reaproveitamento e o remarketing de leads; Medir o funil de vendas de ponta a ponta (lead → disparo → resposta → conversão).
É uma vaga para quem gosta de construir do zero e ter autonomia — time enxuto, decisão rápida e impacto direto no resultado.","Obrigatórios:
Experiência com SQL avançado e PostgreSQL; Python para automação e tratamento de dados; Modelagem de dados para grandes volumes (milhões de registros); Integração via API REST (consumo e envio de dados); Boa lógica para cruzamento e limpeza de bases.
Desejáveis:
Experiência com integração de WhatsApp Cloud API (Meta) ou outras APIs de mensageria; Vivência com CRM, database marketing ou funil de vendas; Noções de LGPD e tratamento de dados sensíveis; Conhecimento de ferramentas de ETL e orquestração (Airflow, dbt ou similar).",Vencida,2,2026-09-21T18:45:50-03:00
Software Engineer Full Stack Senior - Remote,Sojistudio,Remoto,Acima de R$18.000,https://programathor.com.br/jobs/33678-software-engineer-full-stack-senior-remote,"Development: Design, develop, and maintain robust full-stack applications.
System Integration: Build and integrate APIs and MCP-based systems.
Collaboration: Collaborate closely with cross-functional engineering and product teams.
Code Quality: Write clean, scalable, and production-ready code.
Optimization: Troubleshoot, optimize, and continuously improve application performance.
Architecture: Actively participate in architecture and technical design discussions.","Experience: Multiple years of experience as a Full Stack Developer, with a proven track record of building and maintaining production-grade applications.
Technical Proficiency: Strong proficiency in Python, combined with solid experience in MCP and API development.
Availability: Demonstrated ability and commitment to work at least 8 hours per day.
Soft Skills: Strong problem-solving abilities and excellent communication skills.",Vencida,2,2026-09-21T18:45:55-03:00
Instrutor(a) Técnico(a) em IA Generativa Senior,V NOVA RH,Remoto,Não especificado,https://programathor.com.br/jobs/33684-instrutor-a-tecnico-a-em-ia-generativa-senior,"Local: 2 vagas em São Paulo/SP e 1 vaga no Rio de Janeiro/RJ Modelo: PJ | Atuação presencial, remota e em viagens, conforme agenda do programa Descrição da vaga: Atuação em programa global de capacitação em Inteligência Artificial, com foco na condução de treinamentos técnicos, workshops, bootcamps e laboratórios práticos para parceiros estratégicos. Procuramos profissionais com experiência em treinamento técnico, enablement, consultoria, pré-vendas técnicas ou desenvolvimento de software. A pessoa será responsável por ministrar treinamentos para engenheiros, desenvolvedores, arquitetos de soluções, consultores técnicos, times comerciais e lideranças de negócio, conectando conceitos técnicos a aplicações práticas.","Requisitos obrigatórios: Experiência com treinamentos técnicos, workshops ou bootcamps; Conhecimento em IA Generativa, modelos de linguagem, APIs, SDKs e ferramentas para desenvolvedores; Noções de desenvolvimento de aplicações de IA; Capacidade de conduzir laboratórios práticos e apoiar troubleshooting ao vivo; Inglês avançado ou fluente; Disponibilidade para viagens nacionais e internacionais. Diferenciais: Vivência com AWS, Azure ou Google Cloud; Leitura básica de código em Python ou JavaScript; Experiência com ecossistemas de desenvolvedores e programas globais de capacitação; Francês, alemão, japonês ou hindi. Mercados atendidos: Estados Unidos, Índia, França, Alemanha, Reino Unido, Austrália e Japão.",Vencida,2,2026-09-21T18:46:01-03:00
Engenheiro(a) de Dados Júnior (Data Engineer),Bomzai,"São Luís, Maranhão (Presencial)",Até R$8.000,https://programathor.com.br/jobs/33677-engenheiro-a-de-dados-junior-data-engineer,📍 Informações da vaga Local: São Luís/MA (Presencial) Regime de contratação: CLT Inglês fluente (obrigatório) Disponibilidade para viagens (França),"📍 O que esperamos de você : Experiência em Engenharia de Dados; Conhecimento em Python, SQL, Spark, Databricks e Snowflake; Experiência com plataformas Cloud (AWS, Azure ou Google Cloud Platform); Conhecimento em práticas DevOps (CI/CD, Terraform, Kafka e testes automatizados); Familiaridade com GitHub e GitLab",Vencida,2,2026-09-21T18:46:07-03:00
Developer Back-End Senior (AI Engineer),lemon.io,Remoto,Não especificado,https://programathor.com.br/jobs/33669-developer-back-end-senior-ai-engineer,"We are looking for a Senior AI Engineer/Architect to work on AI-driven solutions, including LLM integration, RAG pipelines, and AI automation. The role involves building scalable AI systems, working with vector databases, and developing AI agents for startups in the US and Europe. Fully remote position.","We have several AI-related roles; here are some of them.
**Requirements - AI Engineer:**
- 3+ years of commercial experience applying AI to practical technology solutions - A solid understanding of Python is a must; experience with other programming languages commonly used in AI is a plus - Experience with Vector Databases, Pinecone or Weaviate is required - 2+ years of experience with LangChain is mandatory - 2+ years of experience with large language models (LLMs) or vLLMs is mandatory - 2+ years of experience with RAG or OpenAI is required
**Requirements - AI Agent Architect:**
- 3+ years of experience with Python - 3+ years of experience with LLM - Experience with Multi-agent systems architecture, AI agent orchestration, AI telemetry is a must.
**Requirements - AI Automation Architect:**
- 1+ year of experience with Workflow Automation and Webhooks - 3+ years with SQL is a must - Familiarity with AI API integration and Claude Cowork is a must - Knowledge of Make.com/n8n/Zapier
- Strong technical skills: as a Senior AI Engineer/Architect, you are expected to be able to create projects from scratch and have a deep understanding of application architecture. - Clear and effective communication in English — advanced ability to discuss business tasks, justify decisions, and communicate issues. Good self-presentation is also essential for upcoming client calls. - Strong self-organizational skills — ability to work full-time remotely with no supervision. - Reliability — we want to trust you and expect that you won’t let us and the client down. - Adaptability and Flexibility — the ability to onboard the project promptly after accepting it and start delivering results quickly.
Sounds good for you? Apply now and join the Lemon.io community!",Vencida,2,2026-09-21T18:46:13-03:00
Especialista em Inteligência Artificial e Automação,Ripack Embalagens Ltda,LIMEIRA SP (Híbrido),Não especificado,https://programathor.com.br/jobs/33668-especialista-em-inteligencia-artificial-e-automacao,"Procuramos um Desenvolvedor Full Stack Sênior com experiência em Inteligência Artificial, automação de processos e integração de sistemas. O profissional será responsável por identificar oportunidades de melhoria, desenvolver soluções utilizando IA Generativa (ChatGPT/OpenAI/Claude), criar automações, dashboards, integrações com ERP e ferramentas internas, contribuindo para a transformação digital da empresa.","Formação superior em Ciência da Computação, Engenharia de Software, Sistemas de Informação ou áreas correlatas. Experiência com Python, SQL, CLAUDE e integração de sistemas (APIs). Conhecimento em Git e automação de processos. Experiência com Inteligência Artificial Generativa (ChatGPT/OpenAI ou similares). Perfil analítico, inovador e com boa comunicação para atuar junto às diferentes áreas da empresa.",Vencida,2,2026-09-21T18:46:19-03:00
